228.0	2.696	1.935
230.0	2.703	1.938
232.0	2.710	1.941
234.0	2.718	1.943
236.0	2.725	1.946
238.0	2.732	1.949
240.0	2.740	1.951
242.0	2.747	1.954
244.0	2.754	1.956
246.0	2.761	1.959
248.0	2.769	1.962
250.0	2.776	1.964
252.0	2.783	1.967
254.0	2.790	1.969
256.0	2.798	1.972
258.0	2.805	1.974
260.0	2.812	1.977
262.0	2.819	1.980
264.0	2.826	1.982
266.0	2.834	1.985
268.0	2.841	1.987
270.0	2.848	1.990
272.0	2.855	1.992
274.0	2.862	1.995
276.0	2.870	1.998
278.0	2.877	2.000
280.0	2.884	2.003
282.0	2.891	2.005
284.0	2.898	2.008
286.0	2.905	2.010
288.0	2.913	2.013
290.0	2.920	2.015
292.0	2.927	2.018
294.0	2.934	2.021
296.0	2.941	2.023
298.0	2.948	2.026
300.0	2.956	2.028
305.0	2.973	2.034
310.0	2.991	2.041
315.0	3.009	2.047
320.0	3.027	2.054
325.0	3.045	2.060
330.0	3.063	2.066
335.0	3.081	2.073
340.0	3.099	2.079
345.0	3.116	2.085
350.0	3.134	2.092
360.0	3.170	2.105
370.0	3.206	2.118
380.0	3.242	2.130
390.0	3.278	2.143
400.0	3.314	2.157
420.0	3.387	2.183
440.0	3.460	2.210
450.0	3.496	2.223
460.0	3.533	2.237
480.0	3.607	2.264
500.0	3.682	2.292
520.0	3.758	2.321
540.0	3.834	2.350
550.0	3.873	2.364
560.0	3.911	2.379
580.0	3.989	2.409
600.0	4.068	2.440
620.0	4.148	2.471
640.0	4.229	2.503
650.0	4.269	2.520
660.0	4.311	2.536
680.0	4.393	2.569
700.0	4.477	2.603
720.0	4.563	2.638
740.0	4.649	2.674
750.0	4.693	2.692
760.0	4.737	2.710
780.0	4.826	2.747
800.0	4.916	2.785
820.0	5.007	2.823
840.0	5.100	2.863
850.0	5.147	2.883
860.0	5.195	2.903
880.0	5.291	2.945
900.0	5.388	2.987
920.0	5.487	3.030
940.0	5.588	3.074
950.0	5.639	3.096
960.0	5.690	3.119
980.0	5.794	3.165
